geoid,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06505E+13,1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06505E+13,1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06505E+13,1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
